SYMBOL,CONID
EEM,6604766
EFA,13002510
GLD,51529211
IVV,8991352
SCHP,77763097
SGOV,424099317
SLV,39039301
SPY,756733
TIP,26787475
VEA,45444192
VWO,27684033
